round,round,loss,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate
16,16,0.28498847004231836,0.9781119465329992,0.9584603954957756,0.9995543992417363,0.9785720665127748,0.043323030748931506,0.0004456007582636035
17,17,0.2608732043674472,0.9780618201929576,0.9580890881451442,0.9998770502295444,0.9785319504508021,0.04374516174627082,0.0001229497704555399
18,18,0.26252844708979206,0.9780814277746793,0.9583060380783606,0.9996653653095371,0.9785454336719165,0.043497782789044474,0.00033463469046291134
19,19,0.26087320367612304,0.9780618201929576,0.9580890881451442,0.9998770502295444,0.9785319504508021,0.04374516174627082,0.0001229497704555399
20,20,0.25241816252659527,0.977108137964895,0.9566605129323293,0.9995089749837595,0.9776110181255284,0.04528684361620555,0.000491025016240518
21,21,0.248214457778702,0.9774399215301618,0.9569469378086787,0.9998773441874311,0.9779369152624128,0.0449916521507144,0.00012265581256884508
22,22,0.2480873911232832,0.9780814277746793,0.9583060380783606,0.9996653653095371,0.9785454336719165,0.043497782789044474,0.00033463469046291134
23,23,0.2510761066620622,0.9773451921463333,0.957054775692903,0.9995524550195992,0.9778378297969491,0.044854562683731336,0.0004475449804006825
24,24,0.24720670093661917,0.977649885455663,0.9573200986455834,0.9998882068718431,0.9781370774734958,0.04458093630759709,0.00011179312815684197
25,25,0.24028864455496862,0.9776824034334763,0.9577174752575403,0.9995094566759888,0.9781619034626148,0.04413923721055239,0.0004905433240112202
26,26,0.23822830618763643,0.9780900945133177,0.958354257462111,0.9996317662943415,0.9785536411250435,0.0434463756847654,0.0003682337056585246
27,27,0.2276393961277212,0.9780611392616515,0.9581694888866199,0.9997772704493568,0.9785275319135381,0.043647475755724995,0.00022272955064313158
28,28,0.2178719819357117,0.9779218601531496,0.9578192385030182,0.9998882119501425,0.9783973065754107,0.04403694690610168,0.00011178804985747024
29,29,0.2159896255864259,0.9786581626395192,0.9591813609958529,0.999877345762296,0.9791029588062151,0.042555822728294335,0.00012265423770391266
30,30,0.21803944078241141,0.9778780786804859,0.9577412425018299,0.9998885545525465,0.978356706795561,0.04412743557918809,0.00011144544745347152
31,31,0.20934312408983455,0.9777382558567399,0.9574944584896761,0.999877345762296,0.9782223658872804,0.04439493621258759,0.00012265423770391266
32,32,0.2097524567556283,0.9775186879393061,0.9570813123092032,0.9998884302130983,0.9780123733987777,0.04484568949472572,0.00011156978690170702
33,33,0.19837150528335928,0.9780744732974033,0.9580080422812846,1.0,0.9785481276896321,0.04384560012886511,0.0
34,34,0.1943534025028253,0.9775012260912211,0.9569525313044206,1.0,0.9779982290815611,0.0449916521507144,0.0
35,35,0.19344343334568687,0.9780846424777772,0.9581206958296832,0.9998881869514172,0.9785538812250189,0.04371135557092107,0.00011181304858276961
36,36,0.18746607821350733,0.9781929726715003,0.9583148547948942,0.999888455103179,0.9786570938177022,0.043497782789044474,0.00011154489682097045
37,37,0.18561386683900397,0.9784207945071113,0.9586388133216913,1.0,0.9788784980943217,0.0431532151426905,0.0
38,38,0.19048072621410003,0.977356385945343,0.9567807425659081,0.999888455103179,0.9778562601235498,0.04517031956957352,0.00011154489682097045
39,39,0.1879745617089143,0.9780846424777772,0.9581206958296832,0.9998881869514172,0.9785538812250189,0.04371135557092107,0.00011181304858276961
40,40,0.1825946425712057,0.9781905399375279,0.958310342363357,0.999888442659527,0.9786547485671253,0.043502635286008895,0.00011155734047300312
41,41,0.17619204206908046,0.9784207945071113,0.9586388133216913,1.0,0.9788784980943217,0.0431532151426905,0.0
42,42,0.17454723090580784,0.9781929726715003,0.9583148547948942,0.999888455103179,0.9786570938177022,0.043497782789044474,0.00011154489682097045
43,43,0.17309117616363986,0.9776783216783217,0.9573748793690768,0.9998881118881119,0.9781647844522049,0.04452391704039525,0.00011188811188811189
44,44,0.16661200088065067,0.9780744732974033,0.9580080422812846,1.0,0.9785481276896321,0.04384560012886511,0.0
45,45,0.16825984096365104,0.9779218601531496,0.9578192385030182,0.9998882119501425,0.9783973065754107,0.04403694690610168,0.00011178804985747024
46,46,0.16350802127987304,0.9781929726715003,0.9583148547948942,0.999888455103179,0.9786570938177022,0.043497782789044474,0.00011154489682097045
47,47,0.1602936868983434,0.9779313419527419,0.9578393001660274,0.9998885421310745,0.978407764163904,0.044020896060193354,0.00011145786892554614
